FkkoCode,FkkoDescription,collection,disposal,placement,processing,transportation,utilization
3022120000,Отходы производства тканей из шерстяных волокон,0,0,0,0,0,0
10000000000,"Отходы сельского, лесного хозяйства, рыбоводства и рыболовства",0,0,0,0,0,0
11000000000,Отходы сельского хозяйства,0,0,0,0,0,0
11100000000,Отходы растениеводства,0,0,0,0,0,0
11101000000,Отходы от предпосевной подготовки семян,0,0,0,0,0,0
11101011495,"Семена зерновых, зернобобовых, масличных, овощных, бахчевых, корнеплодных культур непротравленные с истекшим сроком годности",0,0,0,0,0,0
11101021492,"Семена зерновых, зернобобовых, масличных, овощных, бахчевых, корнеплодных культур, протравленные фунгицидами и/или инсектицидами, с истекшим сроком годности",0,0,0,0,0,0
11101100000,Отходы от предпосевной подготовки семян зерновых культур,0,0,0,0,0,0
11101200000,Отходы от предпосевной подготовки семян зернобобовых культур,0,0,0,0,0,0
11101300000,Отходы от предпосевной подготовки семян масличных культур,0,0,0,0,0,0
11101301494,"Семена ярового рапса, протравленные инсектофунгицидами, отбракованные",0,0,0,0,0,0
11101302494,"Семена озимого рапса, протравленные инсектофунгицидами, отбракованные",0,0,0,0,0,0
11101311494,"Семена подсолнечника, протравленные инсектофунгицидами, отбракованные",0,0,0,0,0,0
11101400000,Отходы от предпосевной подготовки семян овощных культур,0,0,0,0,0,0
11101500000,Отходы от предпосевной подготовки семян бахчевых культур,0,0,0,0,0,0
11101600000,Отходы от предпосевной подготовки семян корнеплодных культур,0,0,0,0,0,0
11110000000,Отходы при выращивании зерновых и зернобобовых культур,0,0,0,0,0,0
11111000000,Отходы при уборке урожая зерновых и зернобобовых культур,0,0,0,0,0,0
11111001235,Мякина,0,0,0,0,0,0
11111002235,Солома,0,0,0,0,0,0
11111003235,Стебли подсолнечника,0,0,0,0,0,0
11111004235,Стебли кукурузы,0,0,0,0,0,0
11111540000,Отходы при механической обработке кукурузных початков,0,0,0,0,0,0
11111541235,Обертка кукурузных початков,0,0,0,0,0,0
11111542205,Стержни кукурузных початков,0,0,0,0,0,0
11111543405,Пленка стержневая при обмолоте початков кукурузы,0,0,0,0,0,0
11112000000,Отходы от механической очистки и сортировки зерна  (зерновые отходы),0,0,0,0,0,0
11112001495,Зерноотходы твердой пшеницы,0,0,0,0,0,0
11112002495,Зерноотходы мягкой пшеницы,0,0,0,0,0,0
11112003495,Зерноотходы меслина,0,0,0,0,0,0
11112004495,Зерноотходы кукурузы,0,0,0,0,0,0
11112005495,Зерноотходы ячменя,0,0,0,0,0,0
11112006495,Зерноотходы ржи,0,0,0,0,0,0
11112007495,Зерноотходы овса,0,0,0,0,0,0
11112008495,Зерноотходы сорго,0,0,0,0,0,0
11112009495,Зерноотходы проса,0,0,0,0,0,0
11112011495,Зерноотходы гречихи,0,0,0,0,0,0
11112012495,Зерноотходы тритикале,0,0,0,0,0,0
11112013495,Зерноотходы чумизы,0,0,0,0,0,0
11112014495,Зерноотходы прочих зерновых культур,0,0,0,0,0,0
11112015495,Зерноотходы прочих зернобобовых культур (овощей бобовых сушеных),0,0,0,0,0,0
11112800000,Отходы от механической очистки и сортировки зерна в смеси,0,0,0,0,0,0
11112811495,Отходы механической очистки зерновых культур в смеси,0,0,0,0,0,0
11113000000,Отходы механической очистки семян многолетних травянистых растений,0,0,0,0,0,0
11113011495,Отходы механической очистки семян многолетних бобовых трав,0,0,0,0,0,0
11120000000,"Отходы при выращивании овощей, бахчевых, корнеплодных и клубнеплодных культур",0,0,0,0,0,0
11121001235,"Ботва от корнеплодов, другие подобные растительные остатки при выращивании овощей",0,0,0,0,0,0
11121002235,"Ботва от корнеплодов, другие подобные растительные остатки при выращивании овощей, загрязненные землей",0,0,0,0,0,0
11130000000,Отходы при выращивании прочих однолетних культур,0,0,0,0,0,0
11131000000,Отходы при выращивании грибов,0,0,0,0,0,0
11131001235,Отходы тростника при выращивании грибов,0,0,0,0,0,0
11131811205,Отходы первичной обработки грибов с преимущественным содержанием грунта,0,0,0,0,0,0
11131812205,Отходы первичной обработки грибов с преимущественным содержанием растительных остатков,0,0,0,0,0,0
11140000000,Отходы при выращивании цветов в защищенном грунте,0,0,0,0,0,0
11141111235,"Растительные остатки при выращивании цветов, загрязненные землей",0,0,0,0,0,0
11190000000,Прочие отходы растениеводства,0,0,0,0,0,0
11191000000,Субстраты для тепличного растениеводства отработанные,0,0,0,0,0,0
11191111615,Субстраты минераловатные для тепличного растениеводства отработанные,0,0,0,0,0,0
11191511405,Субстрат торфяной для тепличного растениеводства отработанный,0,0,0,0,0,0
11197111405,Отходы зачистки оборудования для хранения зерна и уборки просыпей зерна в смеси,0,0,0,0,0,0
